Complexity,Loss,Equation
1,43641.57,"243.08102"
3,8266.821,"x0 * 0.5954588"
4,6207.966,"exp(x0 ^ 0.27474472)"
5,5804.5615,"(x0 * 0.07411679) ^ 1.5359994"
7,5681.4434,"((x0 ^ 0.44870427) * -14.040021) + x0"
9,5336.1787,"(0.6636614 * x0) ^ (7.0836415 ^ (-0.9918706 ^ x0))"
11,5324.5444,"(((1.0556388 ^ (-0.9901969 ^ x0)) ^ x0) * x0) * 0.6623718"
13,5320.6987,"((((1.0556388 ^ (-0.9901969 ^ x0)) ^ x0) * x0) * 0.6623718) - -1.670273"
15,5317.5767,"((x0 * 0.6623718) * (((1.0556388 ^ x0) + x0) ^ (-0.9901969 ^ x0))) + 2.4309475"
17,5315.4526,"((((1.0556388 ^ x0) + 428.50964) * 0.2677776) ^ (-0.9901969 ^ x0)) * ((x0 * 0.66873515) + -4.262788)"
18,5270.801,"exp((-1.0724456 * (((x0 + 6.710843) * ((0.6584395 ^ (x0 ^ -0.5647353)) ^ x0)) + -6.913303)) - 0.752744)"
20,5267.3037,"exp(((((x0 + 6.710843) * ((0.6584395 ^ (x0 ^ -0.5647353)) ^ x0)) + -6.913303) * -1.0724456) - 0.752744) + 1.8839675"
22,5261.0815,"exp(((-6.964919 + ((x0 + 2.3330965) * ((0.6575359 ^ (x0 ^ -0.5655274)) ^ (x0 + -3.3980558)))) * -1.0518028) - 0.66669536) - -6.964919"
24,5261.0254,"(exp(((-6.964919 + ((x0 + 2.3330965) * ((0.6575359 ^ (x0 ^ -0.5655274)) ^ (x0 + -3.3980558)))) * -1.0518028) - 0.66669536) - -6.964919) + 0.25328737"
26,5260.9995,"(exp((((((0.6533744 ^ (x0 ^ -0.5675693)) ^ (-3.3421898 + x0)) * (1.6777107 + x0)) + -6.913468) * -1.0726123) - 0.75291395) - -6.913468) + (-0.94708675 ^ x0)"
28,5242.413,"exp((((x0 * ((0.7163042 ^ (x0 ^ -0.52680314)) ^ x0)) + -6.640706) * -1.1756448) - (((x0 + -0.52680314) ^ -2.1809719) + 1.3125821)) - (2.610628 - (x0 ^ 0.61240304))"
30,5242.408,"exp((((x0 * ((0.7163042 ^ (x0 ^ -0.52680314)) ^ x0)) + -6.640706) * -1.1756448) - ((((x0 ^ 0.61240304) + -0.52680314) ^ -2.1809719) + 1.3125821)) - (2.610628 - (x0 ^ 0.61240304))"
