Complexity,Loss,Equation
1,23580.064,"x0"
3,7447.5337,"x0 + -127.01345"
4,3901.9731,"exp(x0 ^ 0.28513366)"
5,1916.8516,"(x0 * 0.020201903) ^ 2.4892504"
6,1574.634,"exp((x0 * 0.11563807) ^ 0.43025818)"
8,1537.6466,"exp(((x0 * 0.07705515) + 3.7692552) ^ 0.46601516)"
10,1522.2683,"exp(((x0 * 0.059509657) + 3.8001664) ^ 0.4954035) + 5.4633646"
11,1512.2964,"((x0 * ((x0 * 2.870372e-6) + -0.0010733483)) + 0.42410648) * x0"
12,1445.127,"exp((((x0 * 3.0582216e-6) * x0) + -1.3694526) * 0.85933125) * x0"
14,1415.436,"(x0 * exp(((x0 * (x0 * 3.0582216e-6)) + -1.356923) * 0.804263)) + -10.717243"
16,1415.3729,"((exp(((x0 * (x0 * 3.0582216e-6)) + -1.356923) * 0.802248) * x0) - 10.400263) + -0.5362587"
18,1415.3606,"(-0.5362587 + (exp(((3.0582216e-6 * (x0 * x0)) + -1.356923) * 0.802248) * (x0 + 0.20374969))) - 10.400263"
20,1414.3436,"(exp(((-0.87015915 ^ x0) + 0.79488945) * ((x0 * (x0 * 3.0582216e-6)) + -1.362189)) * (x0 + 3.6427698)) + -12.581106"
21,1411.6246,"(x0 + x0) - (((((x0 ^ -0.2720177) * 8.557414) - (x0 * ((x0 * 4.970301e-6) + -0.0041397517))) * x0) - x0)"
23,1367.4175,"(x0 - (((((x0 ^ -0.08709487) * 3.8031695) - (x0 * (x0 + ((x0 + 0.0020795339) * -0.99999654)))) * x0) - x0)) + x0"
25,1331.5477,"(x0 + x0) - ((x0 * (((x0 ^ -0.27156562) * 8.557423) - (x0 * (((x0 + -0.009411376) * 0.4376604) + (x0 * -0.43765545))))) - x0)"
27,1330.7914,"x0 + (x0 - ((x0 * (((x0 ^ -0.27156562) * 8.557423) - ((x0 - -1.2405376) * (((x0 + -0.009411376) * 0.4376604) + (x0 * -0.43765545))))) - x0))"
29,1330.188,"(x0 + x0) - ((x0 * (((x0 ^ -0.27156562) * 8.557423) - ((x0 - -1.2405376) * ((x0 * -0.43765545) + ((x0 + -0.009411376) * 0.4376604))))) - (x0 + 0.7635018))"
