Complexity,Loss,Equation
1,8.578231,"4.9691734"
3,0.017739512,"x0 * 0.0033028868"
5,0.015894378,"(25.632896 - x0) * -0.0033453938"
7,0.015148119,"((x0 ^ 0.63227445) - x0) * -0.0035130489"
9,0.015048461,"(((x0 ^ 0.69732237) - x0) * -0.0036395283) - -0.04232019"
11,0.015047929,"((((x0 - -1.8915329) ^ 0.69732237) - x0) * -0.0036395283) - -0.04232019"
13,0.015031586,"((((x0 * 0.018110547) + 3.8607843) ^ -0.1877292) - (x0 * -0.0034231495)) - 0.7503408"
17,0.015028242,"((((x0 * (x0 ^ -0.28633776)) + ((0.94631624 ^ x0) ^ 1.0970089e-6)) - x0) * -0.0036851962) - -0.05618843"
18,0.015023518,"(((((x0 ^ -0.28633776) * x0) + exp(2.8702428 + (x0 * -0.019037994))) - x0) * -0.003685525) - -0.056190442"
19,0.014592001,"((exp(exp((0.9372598 ^ x0) ^ 4.601015e-14)) + (((x0 ^ -0.33703354) * x0) - x0)) * -0.003545064) - -0.08156278"
21,0.014581342,"((exp(exp((0.9372598 ^ x0) ^ 4.601015e-14)) + (((x0 ^ -0.33703354) * x0) - (x0 - 1.4152321))) * -0.003545064) - -0.08156278"
23,0.014182549,"((exp(exp((0.9372598 ^ x0) ^ (0.9347339 ^ (x0 ^ 0.9263556)))) + (((x0 ^ -0.33703354) * x0) - x0)) * -0.003545064) - -0.08156278"
25,0.014087672,"((exp(exp(((0.93725914 ^ x0) ^ (0.93473405 ^ (x0 ^ 0.9263556))) + 0.066716306)) + ((x0 * (x0 ^ -0.33703357)) - x0)) * -0.0035478715) - -0.08156305"
27,0.013973853,"(((((x0 ^ -0.3289722) * x0) - x0) + exp(exp(((0.9347781 ^ x0) ^ ((0.9347781 ^ (x0 ^ 0.92685586)) ^ 0.3099277)) ^ x0))) * -0.0035772813) - -0.0527246"
29,0.013890878,"((exp(exp((((0.93781734 ^ x0) ^ ((0.9347781 ^ (x0 ^ 0.92685586)) ^ 0.3099277)) ^ x0) + 0.05489326)) + (((x0 ^ -0.3289722) * x0) - x0)) * -0.0035772813) - -0.0527246"
30,0.013740238,"((exp(exp(-1.5852522 + exp(((0.93781734 ^ x0) ^ ((0.9347781 ^ (x0 ^ 0.92685586)) ^ 0.3099277)) ^ x0))) + (((x0 ^ -0.3289722) * x0) - x0)) * -0.0035772813) - -0.0527246"
