Complexity,Loss,Equation
1,12116.107,"129.99574"
3,1518.636,"x0 * 0.3403199"
4,791.93115,"exp(x0 ^ 0.26099202)"
5,486.40442,"(x0 * 0.03758211) ^ 1.6974447"
7,466.5376,"((x0 ^ 1.1538125) * 0.4993746) - x0"
9,464.29016,"(3.9425905 - x0) + ((x0 * 0.5157881) ^ 1.1650592)"
11,456.10114,"(-0.05609623 + (((x0 * -4.8980337e-7) + 0.00095566805) * x0)) * x0"
13,451.1546,"(x0 * (x0 + (((x0 * -4.2834753e-7) + 0.0008224014) - x0))) * x0"
15,398.86783,"x0 * ((x0 * (0.0010510243 - ((x0 + (x0 * 5.584507e-7)) - x0))) + -0.08966785)"
17,392.24356,"((((0.0010510243 - (x0 + ((x0 * 5.584507e-7) - x0))) * x0) + -0.08966785) * x0) + 2.5334742"
19,391.91516,"((((0.0010510243 - (((x0 * 5.584507e-7) + x0) - x0)) * (x0 - 3.6396592)) + -0.08966785) * x0) + 3.5251763"
21,391.91116,"((x0 * (((0.0010510243 - (((x0 * 5.584507e-7) + x0) - x0)) * (x0 - 3.6396592)) + -0.08966785)) - -0.011726111) + 3.5251763"
22,391.8852,"(2.5552173 + ((((0.0010510243 - (((x0 * 5.584507e-7) + x0) - x0)) * (x0 - exp(1.29189))) + -0.08966785) * x0)) + 1.1151953"
24,391.88437,"((((((0.0010510243 - (((x0 * 5.584507e-7) + x0) - x0)) * (x0 - exp(1.29189))) + -0.08966785) * x0) + 2.5334742) + 0.991702) - -0.18628266"
25,391.47595,"((x0 * (((x0 + 9.457067) * (((x0 + (x0 * -5.581939e-7)) - x0) + 0.0010687897)) + -0.099464394)) + ((x0 * 0.98601043) + 5.2947793)) - x0"
27,391.4103,"((x0 + 1.0831624) * (((x0 + 9.457067) * (((x0 + (x0 * -5.581939e-7)) - x0) + 0.0010687897)) + -0.099464394)) + ((0.98601043 * (5.2947793 + x0)) - x0)"
29,391.38556,"((((((x0 + 10.81005) * ((x0 + ((x0 * -5.581939e-7) - x0)) + 0.0010687897)) + -0.099464394) * (x0 + 0.56825715)) + (x0 * 0.98601043)) + 3.3520043) - (x0 + -1.4319212)"
