Complexity,Loss,Equation
1,21060.72,"165.57948"
3,3992.577,"x0 * 0.31116846"
4,2699.4448,"exp(x0 ^ 0.25473678)"
5,2263.894,"(x0 * 0.03132922) ^ 1.6936685"
7,2259.666,"((x0 ^ 1.1525805) * 0.46761188) - x0"
9,2233.4182,"(x0 * x0) * ((x0 * -1.4594205e-7) - -0.00049048744)"
11,2225.7356,"((((x0 ^ 2.4924667) * 7.907775e-6) - x0) * -0.00045294096) * x0"
12,2110.6936,"(((exp(x0 ^ 0.45116135) * 9.083976e-9) - x0) * x0) * -0.00038308618"
13,1759.7408,"(0.00050388154 - (x0 - ((x0 * -1.6347875e-7) + x0))) * (x0 * x0)"
15,1648.3042,"(0.030672118 - (x0 * (x0 - (x0 + ((x0 * -8.862236e-8) - -0.00040437776))))) * x0"
17,1643.1372,"((0.03164075 - (x0 * (x0 - (((x0 * -8.862236e-8) - -0.00040437776) + x0)))) * x0) - 2.685349"
19,1641.14,"((0.030565916 - ((x0 * (x0 - (x0 + ((x0 * -8.862236e-8) - -0.00040437776)))) * 1.01322)) * x0) - 3.7284608"
21,1641.0438,"((x0 * ((0.030565916 - (x0 * (x0 - (x0 + ((x0 * -8.862236e-8) - -0.00040437776))))) * 1.01322)) - 4.913266) + 0.7234845"
22,1641.0433,"(((0.030565916 - (x0 * (x0 - (((x0 * -8.862236e-8) - -0.00040437776) + x0)))) * 1.01322) * x0) - (exp(-0.21223788) + 3.3537302)"
23,1640.7562,"(((0.030565916 - ((x0 - (x0 + (((x0 + 1.7266006) * -8.862236e-8) - -0.00040437776))) * (x0 - 3.3537302))) * x0) - 3.4293795) * 1.01322"
28,1640.694,"((x0 * (0.030565916 - ((x0 - ((((x0 + 1.7266006) * -8.862236e-8) - -0.00040437776) + x0)) * (x0 - 3.3537302)))) - 3.3537302) * (1.01322 - exp(0.3015876 - x0))"
30,1640.6698,"((x0 * (0.030565916 - ((x0 - ((((x0 + 1.7266006) * -8.862236e-8) - -0.00040437776) + x0)) * (x0 - 3.3537302)))) - 3.3537302) * (1.01322 - exp(0.3015876 - (x0 + -0.62346995)))"
