Complexity,Loss,Equation
1,2231.9968,"55.13403"
3,293.3218,"x0 * 0.05350461"
5,7.895396,"x0 * (x0 * 3.1070405e-5)"
6,4.3121715,"exp((x0 ^ 0.26935166) + -2.930947)"
8,4.2980776,"exp((x0 ^ 0.26956928) + -2.9460492) + 0.23012933"
11,4.28468,"exp((x0 ^ (0.26956928 - exp(-1.0091752 ^ x0))) + -2.942685)"
12,4.2477245,"exp((x0 ^ (0.26955748 - (0.97270846 ^ x0))) + -2.9460492) + 0.3391479"
13,4.2301702,"exp((x0 ^ (0.26955253 - exp(-1.0091752 ^ x0))) + -2.9460466) + 0.3461736"
15,4.2276335,"exp(((x0 - 0.9320833) ^ (0.26956928 - exp(-1.0091752 ^ x0))) + -2.9460492) + 0.3611848"
16,3.8997614,"exp((-2.9460492 + ((0.86583394 ^ (x0 + x0)) ^ (x0 ^ -0.83673453))) + (x0 ^ 0.26956928))"
18,3.8991766,"exp((x0 ^ 0.26956928) + (((0.86583394 ^ ((x0 + x0) + 0.26956928)) ^ (x0 ^ -0.83673453)) + -2.9460492))"
20,3.7955847,"exp((exp(-1.0091752 ^ x0) ^ 0.05737887) + ((-2.9460492 - (exp(-1.0091752 ^ x0) * x0)) + (x0 ^ 0.26956928)))"
22,3.7878988,"exp((exp(-1.0091752 ^ x0) ^ 0.05737887) + ((-2.9460492 - (exp(-1.0091752 ^ x0) * x0)) + (x0 ^ 0.26956928))) - -0.042307448"
23,3.6225038,"exp(((0.86583394 ^ (x0 + (x0 * 1.1368893))) ^ (x0 ^ -0.83673453)) + (((x0 ^ 0.26956928) + -2.9460492) - exp(-1.0091752 ^ x0)))"
25,3.6219459,"exp((((x0 ^ 0.26956928) + -2.9460492) - (exp(-1.0091752 ^ x0) ^ 0.29166922)) + ((0.86583394 ^ ((x0 + x0) + 0.26956928)) ^ (x0 ^ -0.83673453)))"
27,3.513857,"exp((x0 ^ 0.26956928) + ((((0.86583394 ^ ((x0 + x0) + 0.23844883)) ^ (x0 ^ -0.83673453)) + -2.9460492) - ((x0 * exp(-1.0091752 ^ x0)) ^ 0.4389875)))"
28,3.5137184,"exp((x0 ^ 0.26956928) + (((0.86583394 ^ ((x0 + x0) + exp(-2.5286396))) ^ (x0 ^ -0.83673453)) + (-2.9460492 - ((x0 * exp(-1.0091752 ^ x0)) ^ 0.4389875))))"
29,3.4866033,"exp(((x0 ^ 0.26956928) + (((0.86583394 ^ ((x0 + x0) + 0.23844883)) ^ (x0 ^ -0.83673453)) + -2.9460492)) - ((x0 * exp(-1.0091752 ^ x0)) ^ 0.4389875)) - -0.18067919"
