Complexity,Loss,Equation
1,246.26877,"23.849127"
3,6.1143417,"x0 * 0.07419147"
5,1.6508526,"(x0 * 0.03667084) ^ 1.2432327"
6,0.8289219,"exp((x0 ^ 0.26263916) + -1.507533)"
8,0.82449013,"exp(((x0 + -0.9796731) ^ 0.26263905) + -1.5057107)"
9,0.7832528,"x0 * (0.060378198 - ((x0 * -5.1907055e-8) * x0))"
11,0.74926955,"(x0 ^ 0.9310584) * (0.087471455 - ((-9.84926e-8 * x0) * x0))"
13,0.74876344,"((x0 - 0.43567115) ^ 0.9310584) * (0.087471455 - ((x0 * x0) * -9.886997e-8))"
15,0.7325215,"(x0 - ((x0 * 0.0005319034) * x0)) * (0.06395519 - (x0 * (x0 * -1.4517583e-7)))"
17,0.5379561,"(x0 + (x0 * (x0 * -0.0010068335))) * (0.075642176 - (((x0 * x0) * -5.8287886e-10) * x0))"
19,0.53029567,"(0.07662382 - (((x0 * x0) * x0) * -5.7738114e-10)) * (x0 - (1.6470017 - ((x0 * x0) * -0.0010017545)))"
21,0.52552325,"((x0 - (-0.16785425 - (x0 * (x0 * -0.0010017545)))) * (0.07662382 - ((x0 * x0) * (x0 * -5.751328e-10)))) + -0.2336009"
22,0.5169081,"(0.075642176 - (x0 * ((x0 * x0) * -5.8287886e-10))) * (x0 - ((exp(x0 * -0.036167935) - (x0 * -0.0010071282)) * x0))"
24,0.51288545,"(0.075642176 - (((x0 * x0) * x0) * -5.8287886e-10)) * (x0 - ((exp((x0 * -0.035160806) + -0.345024) - (x0 * -0.0010071282)) * x0))"
26,0.49962848,"(0.075642176 - (((x0 * x0) * -5.8287886e-10) * x0)) * (x0 - ((exp(((1.0311314 ^ x0) * -0.010538271) - 2.4333045) - (x0 * -0.0010068335)) * x0))"
28,0.49388805,"((0.07564217 - ((x0 * x0) * (-5.828789e-10 * x0))) * (x0 - ((exp(((1.0311314 ^ x0) * -0.012061313) - 2.1502478) - (x0 * -0.0010088879)) * x0))) + 0.10623212"
30,0.49348918,"((x0 - ((exp(((1.0311314 ^ x0) * -0.012697521) - 2.1502478) - (x0 * -0.0010068335)) * x0)) * (0.075642176 - ((x0 * (-5.8287886e-10 * (-2.3605068 + x0))) * x0))) + 0.10623212"
