Complexity,Loss,Equation
1,0.05323123,"0.39863324"
3,5.379006e-5,"x0 * 0.00015971361"
5,5.3734802e-5,"(x0 * 0.00015971361) ^ 1.0007447"
7,5.321333e-5,"((x0 + 0.00016534328) * 1.0001596) - x0"
9,5.0674254e-5,"x0 * ((x0 + (0.032075897 - x0)) * 0.0049754344)"
11,5.0506875e-5,"(((0.028152354 - x0) + x0) * 0.0056536705) * (x0 + 6.462609)"
13,5.0490216e-5,"((x0 + 0.0281523) - x0) * (0.005653641 * ((x0 ^ 0.24401012) + x0))"
15,5.0424453e-5,"(((x0 + 2.5863225) * (((x0 + 0.029632589) - x0) * 0.0053799734)) + x0) - x0"
17,4.9899383e-5,"((((x0 * -4.4722477e-5) - (x0 + x0)) - -24.790373) + (x0 + (x0 + -24.790373))) * -3.5710013"
19,4.8403625e-5,"((((((x0 * 0.093798675) - (x0 + x0)) + 16.633257) + (x0 + -16.633307)) + x0) * -10.659434) + x0"
21,4.769014e-5,"0.9747414 * (((x0 + ((17.418325 + ((x0 * 0.1464912) - (x0 + x0))) + (x0 + -17.418333))) * -6.82523) + x0)"
23,4.7383586e-5,"(((((x0 + -17.41834) + ((((x0 + 0.00022344328) * 0.1464912) - (x0 + x0)) + 17.418325)) + x0) * -6.82523) + x0) * 0.97496486"
25,4.7347567e-5,"((x0 + ((x0 + (((((x0 + 0.00022607586) * 0.1464912) - (x0 + x0)) + 17.418325) + (x0 + -17.418333))) * -6.82523)) * 0.9747414) + 0.00022607586"
27,4.7099857e-5,"((((x0 + ((x0 + -17.41811) + ((((x0 + 0.00022344328) * 0.1464912) - (x0 + x0)) + 17.418325))) * -6.82523) + (x0 + 0.00022344328)) * 0.97257286) - -0.0021685392"
