Complexity,Loss,Equation
1,8678.744,"57.72112"
3,7312.1064,"x0 * 0.09467659"
5,7273.105,"(x0 ^ 1.3429801) * 0.009117212"
6,7239.943,"exp((x0 * 0.0885426) ^ 0.3389933)"
7,7224.0347,"exp(exp((x0 ^ 0.261789) * 0.24767394))"
8,7177.444,"exp(((x0 ^ -0.030984327) + -0.7868079) ^ -0.38559586)"
9,7012.599,"(((x0 ^ -0.14182326) + -0.36352172) ^ -0.36352172) * 14.421316"
11,7012.1655,"((((x0 ^ -0.14182326) + -0.36352172) ^ -0.36352172) * 14.421316) + -0.68043876"
13,6703.8247,"((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845) * (x0 ^ 0.53140616)"
15,6702.5312,"(0.01486548 + ((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845)) * (x0 ^ 0.53140616)"
17,6699.4204,"((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845) * (((x0 + x0) ^ 0.49397364) - 2.9645083)"
19,6688.8374,"(((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845) - -0.33232227) * (((x0 + x0) ^ 0.49397364) + -7.262512)"
21,6687.9385,"((((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845) - -0.33232227) * (((x0 + x0) ^ 0.49397364) + -6.0148644)) + -2.881984"
23,6687.6504,"((((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845) - -0.33232227) * ((((x0 + x0) + 14.800134) ^ 0.49397364) + -6.2205973)) - 2.7864797"
25,6687.597,"((((((x0 + x0) + 16.223806) ^ 0.49397364) + -6.2205973) * (((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845) - -0.33232227)) - 2.7864797) + -0.24660361"
27,6686.9233,"((x0 * 0.09429736) ^ -1.0079006) + (((((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845) - -0.36788204) * (((x0 + x0) ^ 0.49397364) + -6.0148644)) - 4.0635247)"
29,6686.9136,"(((x0 * 0.09429736) ^ -1.0079006) + (((((((x0 + 4.177301) ^ -0.14182326) + -0.36352172) ^ -0.15939845) - -0.36788204) * (((x0 + x0) ^ 0.49397364) + -6.0148644)) - 4.0635247)) - -0.07878729"
