Complexity,Loss,Equation
1,8996.563,"85.95273"
3,3600.988,"x0 * 0.08249097"
5,2835.3367,"(0.008149695 * x0) ^ 1.8704191"
7,2765.9985,"((x0 ^ 1.0533814) * 0.7275919) - x0"
8,2648.5518,"(exp(-0.99838334 ^ x0) * 1.5583845) ^ 13.035674"
9,2448.0002,"x0 ^ (((-0.9923144 ^ x0) * x0) - -0.69197935)"
11,2388.272,"(x0 ^ ((x0 * (-0.9925485 ^ x0)) - -0.67888343)) + 12.72132"
13,2344.2932,"((x0 ^ (((-0.9924587 ^ x0) * 2163.4922) - -0.6788834)) + 8.024124) * 1.0724937"
15,2313.3447,"(x0 ^ 0.40142316) + (x0 ^ (((-0.9914296 ^ x0) * (x0 * 7.6336827)) - -0.6788779))"
17,2312.2444,"(x0 ^ (((x0 * 7.6336827) * (-0.9914296 ^ x0)) - -0.6788779)) + ((x0 ^ 0.42620692) - 3.1208794)"
19,2307.655,"(x0 ^ (((-0.99154866 ^ x0) * (x0 * 6.7619042)) - -0.6788816)) + (x0 ^ ((-0.99162006 ^ x0) + 0.41541308))"
21,2307.5566,"((x0 ^ (((-0.99154866 ^ x0) * (x0 * 6.7619042)) - -0.6788816)) + (x0 ^ ((-0.99162006 ^ x0) + 0.41541308))) + -0.13495983"
23,2305.1277,"(x0 ^ ((-0.9916177 ^ x0) + 0.4154159)) + (0.9797152 * (x0 ^ (((-0.9915522 ^ x0) * ((x0 + x0) * 3.2211328)) - -0.67889273)))"
25,2304.696,"(x0 ^ ((-0.9916177 ^ x0) + 0.4154159)) + (0.9797152 * ((x0 ^ ((((-0.9915522 ^ x0) * (x0 + x0)) * 3.2211328) - -0.67889273)) + 0.6985147))"
26,2302.637,"(((x0 ^ 0.41541597) + 3.3148506) + ((x0 * 0.9453326) ^ (((-0.99161774 ^ x0) * (x0 * 5.6599245)) - -0.6788931))) ^ exp((-0.99161774 ^ x0) * 13.842724)"
27,2300.0278,"((x0 ^ ((((x0 + x0) * 3.2211328) * (-0.99161774 ^ x0)) - -0.6788931)) * 0.9453326) + (((x0 ^ 0.45090842) ^ (x0 ^ (-0.99161774 ^ x0))) + -0.6788931)"
28,2298.264,"((((x0 * 0.9453326) ^ ((((-0.9916007 ^ x0) * (x0 + x0)) * 3.3148506) - -0.6788931)) + (x0 ^ 0.41541597)) + 4.3605204) ^ exp((-0.9916168 ^ x0) * 13.842724)"
30,2297.9883,"(4.3605204 + (((x0 * 0.9453326) ^ (((-0.99161774 ^ x0) * ((x0 + x0) * 3.2211328)) - -0.6788931)) + (x0 ^ 0.41541597))) ^ exp((x0 ^ 0.48817936) * (-0.99161774 ^ x0))"
