Complexity,Loss,Equation
1,105184.64,"294.66476"
3,12908.017,"x0 ^ 1.3715737"
4,1964.8881,"exp(x0 ^ 0.3964187)"
6,1576.9498,"exp(x0 ^ 0.3976086) + -25.74751"
7,1081.7938,"x0 * ((x0 * 0.075778484) + -2.4294434)"
9,1058.8812,"((-2.8092163 - (x0 * -0.078109264)) * x0) + 12.900062"
11,1058.868,"(x0 * ((x0 * -0.9218788) + (-2.8107836 + x0))) + 12.93531"
12,1016.3397,"((x0 * (exp(-1.0506959 ^ x0) - -0.07733344)) + -2.6017118) * x0"
14,1014.54297,"(x0 * (((exp(-1.0483723 ^ x0) - -0.07671456) * x0) + -2.4872253)) - 4.8309717"
15,973.5264,"(((-0.91046584 ^ x0) + -0.06073252) * (((-11.647091 - x0) * x0) + -160.19289)) + -168.54199"
17,965.0014,"((((-0.89373976 ^ x0) + -0.021870347) * (((x0 * x0) * -2.7006173) + -186.05359)) + x0) + -173.13011"
21,965.0008,"(((((-0.89373976 ^ x0) + -0.021870347) * (-186.05359 + ((x0 * x0) * -2.7006173))) + -173.35199) + (x0 + 0.22188552)) - 0.01914293"
22,962.258,"exp(-0.93639797 ^ x0) * ((((x0 * (x0 * -2.7235007)) + -185.70175) * ((-0.89371103 ^ x0) + -0.021687247)) + (x0 + -172.3947))"
24,962.16296,"(((x0 + -172.3947) + ((((x0 * -2.7235153) * x0) + -185.70175) * ((-0.8937077 ^ x0) + -0.021675855))) - -0.38446125) * exp(-0.9363829 ^ x0)"
26,962.01996,"((((-186.24625 + (x0 * (0.5444898 + (x0 * -2.7235007)))) * ((-0.89371103 ^ x0) + -0.021687247)) + (x0 - -1.1890874)) + -172.3947) * exp(-0.93639797 ^ x0)"
28,962.0194,"((((((-186.24625 + (x0 * (0.5444898 + (x0 * -2.7235007)))) * ((-0.89371103 ^ x0) + -0.021687247)) + x0) - -1.1890874) + -172.3947) * exp(-0.93639797 ^ x0)) + 0.060739443"
