Complexity,Loss,Equation
1,6454.828,"x0"
3,3681.7515,"x0 + -52.660915"
4,3657.2656,"exp(x0 ^ 0.2960857)"
5,3486.4116,"(x0 * 0.14340942) ^ 1.450825"
6,3471.8948,"x0 * exp(-0.9950712 ^ x0)"
7,3438.8545,"((-0.9936542 ^ x0) + 0.9528187) * x0"
9,3438.2766,"(((-0.9936258 ^ x0) - -0.94652545) * x0) - -1.5122344"
11,3437.94,"((((x0 ^ -1.7672633) + -0.9936451) ^ x0) - -0.9500379) * x0"
13,3209.9998,"(x0 - ((x0 ^ ((-1.2277833 ^ x0) * 8.355216e-29)) * 49.740303)) * 0.89395213"
15,2994.922,"(x0 * 0.89395213) - ((x0 ^ (((-1.2277833 ^ x0) * 2.9194218e-29) + 0.5102009)) * 3.6679027)"
17,2986.2927,"(x0 * 0.89395213) - (((x0 ^ (((-1.2277833 ^ x0) * 2.9194218e-29) + 0.52756405)) + -1.4907128) * 3.6679027)"
18,2986.176,"(x0 * 0.89395213) - (3.6679027 * ((x0 ^ ((2.9194218e-29 * (-1.2277833 ^ x0)) + exp(-0.639485))) - 1.4538859))"
19,2984.1985,"(x0 * 0.89395213) - (((x0 ^ ((x0 ^ -0.07280952) + (2.9194218e-29 * (-1.2277833 ^ x0)))) * 1.6493529) - 5.32201)"
21,2982.904,"(x0 * 0.89395213) - ((((x0 + 2.7201583) ^ ((x0 ^ -0.07280952) + ((-1.2277833 ^ x0) * 2.9194218e-29))) * 1.6493529) - 5.32201)"
23,2982.5198,"((x0 * 0.89395213) - ((((x0 + 2.391818) ^ (((-1.2277833 ^ x0) * 2.9194218e-29) + (x0 ^ -0.07280952))) - 4.2183356) * 1.6493529)) - 1.1036744"
24,2982.5078,"((0.89395213 * x0) - (1.6493529 * (((exp(0.87205374) + x0) ^ ((2.9194218e-29 * (-1.2277833 ^ x0)) + (x0 ^ -0.07280952))) - 4.2183356))) - 0.89395213"
25,2982.4417,"((x0 * 0.89395213) - (((((x0 - -2.5197868) ^ (((-1.2277833 ^ x0) * 2.9194218e-29) + (x0 ^ -0.07280952))) * 1.6493529) + x0) - 5.9730783)) + x0"
26,2979.375,"(x0 * 0.89395213) - (1.6493529 * ((x0 ^ ((x0 ^ -0.07280952) + ((-1.2277833 ^ x0) * 2.9194218e-29))) - (exp(2.9194218e-29 * (-1.2277833 ^ x0)) + 2.5424125)))"
28,2977.2947,"((x0 * 0.89395213) - (1.6493529 * ((x0 ^ ((x0 ^ -0.07280952) + ((-1.2277833 ^ x0) * 2.9194218e-29))) - 2.5424125))) + exp(1.6493529 ^ (2.9194218e-29 * (-1.2277833 ^ x0)))"
30,2970.34,"exp((x0 ^ 0.08305665) + ((-1.2277833 ^ x0) * 2.9194218e-29)) + ((x0 * 0.89395213) - (((x0 ^ ((x0 ^ -0.07280952) + ((-1.2277833 ^ x0) * 2.9194218e-29))) * 1.6493529) - 2.5424125))"
