Complexity,Loss,Equation
1,5.1851444,"3.9626677"
3,0.027014883,"x0 * 0.0033320924"
5,0.026580391,"0.04148078 - (x0 * -0.0033059134)"
7,0.025067836,"x0 * (x0 - (x0 + -0.0033431447))"
9,0.014904314,"x0 * ((x0 + -154.14107) - (x0 + -154.14445))"
11,0.012906012,"x0 * (((x0 + -209.20232) - (x0 + -209.19856)) * -0.89716774)"
13,0.012756955,"(x0 + 9.69188) * (((x0 + -209.20232) - (x0 + -209.19856)) * -0.8916704)"
15,0.012651535,"(((x0 + -209.20232) - (x0 + -209.19856)) * -0.8839199) * (x0 + (x0 ^ 0.43197933))"
17,0.012630187,"((x0 + (-209.20232 - (x0 + -209.19856))) * ((x0 * -0.88316554) - (x0 ^ 0.43638882))) + -0.008661603"
19,0.012626838,"(x0 + (-209.20232 - (x0 + -209.19856))) * (((x0 * -0.88316554) + 4.0838194) - ((x0 * 1.297038) ^ 0.4307869))"
21,0.012626483,"((x0 + -209.20232) - (x0 + -209.19856)) * ((((x0 * -0.88316554) + 4.0838194) - ((x0 * 1.297038) ^ 0.4307869)) + -0.1498073)"
22,0.012623246,"((x0 + -209.20232) - (-209.19856 + x0)) * ((x0 * -0.88316554) + (exp((1.0282861 ^ x0) ^ -0.066546425) - (x0 ^ 0.4307869)))"
23,0.012541461,"((x0 + -209.20232) - (-209.19856 + x0)) * ((x0 * ((0.4307869 * (1.4677148 ^ (-0.027983107 * x0))) + -0.88316554)) - (x0 ^ 0.4307869))"
24,0.012489309,"((x0 + -209.20232) - (x0 + -209.19856)) * ((x0 * -0.88316554) - (((x0 - x0) ^ exp(-0.31553462 * x0)) * (x0 ^ 0.4307869)))"
26,0.01248541,"((x0 + -209.20232) - (x0 + -209.19856)) * ((x0 * -0.88316554) - ((x0 ^ 0.4307869) * ((x0 - x0) ^ exp(x0 * (0.9891386 * -0.31553462)))))"
28,0.012483658,"(x0 + (-209.20232 - (x0 + -209.19856))) * (((x0 + -0.43135568) * -0.88316554) - ((((x0 - x0) ^ exp((x0 * -0.31553462) - -1.1444755)) * x0) ^ 0.4307869))"
